# Based on the WLTC drive cycle,
# see #1264 for discussion and how to use this drive cycle,
# time [s],Power [W]
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0.00038311
11.2,0.000766235
11.3,0.001149373
11.4,0.001532526
11.5,0.001915692
11.6,0.002298874
11.7,0.002682069
11.8,0.00306528
11.9,0.003448505
12,0.003831744
12.1,0.024495328
12.2,0.034994751
12.3,0.045495082
12.4,0.055996359
12.5,0.066498621
12.6,0.077001904
12.7,0.087506245
12.8,0.098011683
12.9,0.108518255
13,0.119025999
13.1,0.322994809
13.2,0.380751447
13.3,0.438516566
13.4,0.496290729
13.5,0.554074499
13.6,0.611868438
13.7,0.669673109
13.8,0.727489075
13.9,0.7853169
14,0.843157145
14.1,1.096491537
14.2,1.180950213
14.3,1.265430119
14.4,1.349932268
14.5,1.434457672
14.6,1.519007344
14.7,1.603582296
14.8,1.688183542
14.9,1.772812092
15,1.857468961
15.1,1.398253997
15.2,1.442223365
15.3,1.486208293
15.4,1.530209146
15.5,1.574226286
15.6,1.618260079
15.7,1.662310889
15.8,1.706379079
15.9,1.750465014
16,1.794569057
16.1,2.163177352
16.2,2.224515538
16.3,2.285880993
16.4,2.347274326
16.5,2.408696148
16.6,2.470147068
16.7,2.531627696
16.8,2.593138642
16.9,2.654680514
17,2.716253924
17.1,3.473570253
17.2,3.570211954
17.3,3.666907404
17.4,3.763657833
17.5,3.86046447
17.6,3.957328544
17.7,4.054251283
17.8,4.151233916
17.9,4.248277672
18,4.34538378
18.1,3.999828274
18.2,4.078519325
18.3,4.157263167
18.4,4.236060685
18.5,4.314912761
18.6,4.393820278
18.7,4.472784121
